MasterObjectID,objectid,parentid,location,mining_district,identifier,additional_locations,objecttype_name,objectsubtype_name,author,maptype_name,title,description,date,type_name,format_id,source_name,identifier_name,language_name,rights_name,rights_link,display_name,object_location,image_small,image_thumb,subject
666,bea072,,Goldfinch,Argenta,,,Map,Map,,Plan View Map,Goldfinch Mine Plan Map with Notes,"Assay and underground workings with 40, 60, 120, and 200 level with extra notes of authors.",6/18/1937,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_10_07_Beaverhead_Underground_Cross_Section_Plan_Map_Goldfinch_Mine_40_to_200_Level_1937.jpg,/objects/small/001_10_07_beaverhead_underground_cross_section_plan_map_goldfinch_mine_40_to_200_level_1937_sm.jpg,/objects/thumbs/001_10_07_beaverhead_underground_cross_section_plan_map_goldfinch_mine_40_to_200_level_1937_th.jpg,Abandoned
667,bea073,,Goldfinch,Argenta,,,Map,Map,,Longitudinal Section,Longitudinal Section and Assay Goldfinch Mine,"Longitudinal Section including surface, 40, 60, 120 levels",11/25/1936,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_10_09_Beaverhead_Underground_Cross_Section_Longitudinal_Section_with_Assay_1936.jpg,/objects/small/001_10_09_beaverhead_underground_cross_section_longitudinal_section_with_assay_1936_sm.jpg,/objects/thumbs/001_10_09_beaverhead_underground_cross_section_longitudinal_section_with_assay_1936_th.jpg,Assay Map;Abandoned;
668,bea074,,Goldfinch,Argenta,,,Map,Map,Paul L. Jones,Cross Section,Cross Section of Polaris Mine,"Underground Workings Including Section A-A' and Section B-B' with tunnels, old shafts and assay notes",3/3/1974,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_10_10_Beaverhead_Underground_Cross_Section_Polaris_Mine_T5S_R12W_S28_1974.jpg,/objects/small/001_10_10_beaverhead_underground_cross_section_polaris_mine_t5s_r12w_s28_1974_sm.jpg,/objects/thumbs/001_10_10_beaverhead_underground_cross_section_polaris_mine_t5s_r12w_s28_1974_th.jpg,Assay Map; Underground Map;Abandoned;
669,bea075,,Golden Era,Argenta,,,Map,Map,J. U. Macewan,Assay Map,Plan of Drift Golden Era Mine,Underground workings and assay in gold oz/ton.,3/9/1936,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/002_01_01_Beaverhead_Geochemical_Cross_Section_Drift_Golden_Era_Mine_Argenta_1936.jpg,/objects/small/002_01_01_beaverhead_geochemical_cross_section_drift_golden_era_mine_argenta_1936_sm.jpg,/objects/thumbs/002_01_01_beaverhead_geochemical_cross_section_drift_golden_era_mine_argenta_1936_th.jpg,Workings Map;Abandoned;
670,bea076,,Golden Era,Argenta,,,Map,Map,J. U. Macewan,Longitudinal Section,Long Section of the Golden Era Mine,"Includes workings, measurements of these workings and the water table",3/9/1936,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/002_01_02_Beaverhead_Underground_Cross_Section_Long_Section_Golden_Era_Mine_1936.jpg,/objects/small/002_01_02_beaverhead_underground_cross_section_long_section_golden_era_mine_1936_sm.jpg,/objects/thumbs/002_01_02_beaverhead_underground_cross_section_long_section_golden_era_mine_1936_th.jpg,Abandoned
671,bea077,,Golden Era,Argenta,,,Map,Map,J. U. Macewan,Plan View Map,Plan of the Golden Era Mine,"Underground workings, surface workings and surrounding claims as well as the Golden Era Mill Site.",,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/002_01_03_Beaverhead_Survey_Plan_of_Golden_Era_Mine_Argenta_1936.jpg,/objects/small/002_01_03_beaverhead_survey_plan_of_golden_era_mine_argenta_1936_sm.jpg,/objects/thumbs/002_01_03_beaverhead_survey_plan_of_golden_era_mine_argenta_1936_th.jpg,Abandoned
677,bea078,,Goldfinch,Argenta,,,Map,Map,,Survey Map,Survey of Goldfinch Claim and Surrounding Claims with Cross Section,"Surveys shown include South Side, Sunny Day, Big Lode, Harmon, Three Cheers Claim, Golden Crown, Dolphin, Caledonia, All Nations, and J. T. Ross Claims. There are also elevation markers, Mt. Baldy, and Clark Canyon",,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/002_01_09_Beaverhead__Survey_South_Side_Dolphin_Claim_J_T_Ross.jpg,/objects/small/002_01_09_beaverhead__survey_south_side_dolphin_claim_j_t_ross_sm.jpg,/objects/thumbs/002_01_09_beaverhead__survey_south_side_dolphin_claim_j_t_ross_th.jpg,Abandoned
693,bea079,,Goldfinch,Argenta,,,Map,Map,,Plan View Map,Plan View and Long View of Goldfinch Mine,Underground workings withs shafts and stoped areas. Levels number 1-4. Plate 3,,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/002_02_01_Beaverhead_Plan_View_Long_Veiw_Goldfinch_Mine_Plate_3.jpg,/objects/small/002_02_01_beaverhead_plan_view_long_veiw_goldfinch_mine_plate_3_sm.jpg,/objects/thumbs/002_02_01_beaverhead_plan_view_long_veiw_goldfinch_mine_plate_3_th.jpg,Longitudinal Section; Plan View Map;Abandoned;
695,bea080,,Golden Dawn,Argenta,,,Map,Map,Robin McCulloch,Underground Map,Surface and Underground Workings of Golden Dawn Mine,Manway and shafts in both maps with surrounding geology,8/2/1988,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/002_02_03_Beaverhead_Underground_Workings_Golden_Dawn_Mine_R_McCulloch_1988.jpg,/objects/small/002_02_03_beaverhead_underground_workings_golden_dawn_mine_r_mcculloch_1988_sm.jpg,/objects/thumbs/002_02_03_beaverhead_underground_workings_golden_dawn_mine_r_mcculloch_1988_th.jpg,Abandoned
696,bea081,,Yellow Band,Argenta,,,Map,Map,,Geologic Map,c,"Located in Sections 1, 2 and 11, T6S, R11W with red geology notes.",8/1/1946,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/002_02_04_Beaverhead_Surface_Geology_and_Workings_Cross_and_Yelow_Band_Claims_1946.jpg,/objects/small/002_02_04_beaverhead_surface_geology_and_workings_cross_and_yelow_band_claims_1946_sm.jpg,/objects/thumbs/002_02_04_beaverhead_surface_geology_and_workings_cross_and_yelow_band_claims_1946_th.jpg,Underground Map;Abandoned;
697,bea082,,Goldsmith,Argenta,,,Map,Map,,Underground Map,Underground Workings of Goldsmith Mine,Geology notes in red around workings,,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/002_02_05_Beaverhead_Underground_Workings_Goldsmith_Mine_Argenta_District.jpg,/objects/small/002_02_05_beaverhead_underground_workings_goldsmith_mine_argenta_district_sm.jpg,/objects/thumbs/002_02_05_beaverhead_underground_workings_goldsmith_mine_argenta_district_th.jpg,Abandoned
699,bea083,,Iron Mountain,Argenta,,,Map,Map,Geo R. Mellen,Survey Map,Map of Montana Mining District,"Located in T6S, R10W including claims Stapelton, Annie Placer, Grand View, Goldsmith, Windup, Iron Mountain, Little Iron Mountain, Captain Jim, Mountain View, Daylight, Copper Blossom, Iron Hat, Rittenhouse, Brownelle, Anaconda, Louis Philip, Copper Bell, Emerald, Rattlesnake, Cold Day, M and M, Jack Rabbit, Three Times Winner, Bella Lode, East End, Magnolia, Big Paymaster, Big Jimbo, Ferdinand, and Kelly Placer",1/15/1928,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/002_02_08_Beaverhead_Survey_Argenta_Mining_District_G_R_Mellen_1928.jpg,/objects/small/002_02_08_beaverhead_survey_argenta_mining_district_g_r_mellen_1928_sm.jpg,/objects/thumbs/002_02_08_beaverhead_survey_argenta_mining_district_g_r_mellen_1928_th.jpg,Abandoned
700,bea084,,Ferdinand,Argenta,,,Map,Map,,Assay Map,Assay Map and Section of Ferdinand Shaft,"Shaft looking North from 134-foot level to 234-foot level. Assay contains gold, silver, lead, zinc, and cubic zirconia",,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/002_02_10_Beaverhead_Assay_and_Section_of_Ferdinand_Shaft_134_to_234_foot_Level.jpg,/objects/small/002_02_10_beaverhead_assay_and_section_of_ferdinand_shaft_134_to_234_foot_level_sm.jpg,/objects/thumbs/002_02_10_beaverhead_assay_and_section_of_ferdinand_shaft_134_to_234_foot_level_th.jpg,Abandoned
723,bea085,,Ferdinand,Argenta,,,Map,Map,George Engineering Co,Workings Map,Underground Workings of Ferdinand Mine,"Created for the Hecla Mining Company, contains the 58-foot level of the Ferdinand and surveys of surrounding mines including P. J. Kelly Placer, Bella, and Big Jumbo",2/26/1938,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/002_03_02_Beaverhead_Underground_Workings_Ferdinand_Lead_Mine_Argenta_Montana.jpg,/objects/small/002_03_02_beaverhead_underground_workings_ferdinand_lead_mine_argenta_montana_sm.jpg,/objects/thumbs/002_03_02_beaverhead_underground_workings_ferdinand_lead_mine_argenta_montana_th.jpg,Survey Map;Abandoned;
724,bea086,,Ermont,Ermont,,,Map,Map,JCC,Survey Map,Survey of Wellborn Claims,"Surveys over a topographic map with claims including Ermont claims 1-35, Dog Claims, Anaconda mine, Brownell Mine, Mauldin Mine, Jack Rabbit, Ferdinand Mine, and Salgman Smelter.",2/22/1983,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/002_03_03_Beaverhead_Survey_Topographic_Welborn_Claims_J_C_C_1983.jpg,/objects/small/002_03_03_beaverhead_survey_topographic_welborn_claims_j_c_c_1983_sm.jpg,/objects/thumbs/002_03_03_beaverhead_survey_topographic_welborn_claims_j_c_c_1983_th.jpg,Abandoned
756,bea088,,Iron Mountain,Argenta,,,Map,Map,George R. Metlen,Survey Map,Montana Mining District,"Surveys including buildings of Montana Mining District, these surveys include Leap Year, Spring, Rena, Reform, Golden Era, Gov Tilden, Florida, Tuscarora, Wooley, Burleigh, St. Joseph, Fraction, Fraction Placer, Argenta, Gladstone, Midnight, Silverlight, Stapelton, Old Legal Tender, Spanish, Annie Placer, Grand View, Gold Smith, Wind Up, Iron Mountain, Little Iron Mountain, Captain Jim, Daylight, Copper Blossom, Iron Hat, Rittenhouse, Anaconda, Bronell, Louis Philip, Copper Bell, Cold Day, M and M, Jack Rabbit, Emerald, Three Times Winner, Norma, East end, Magnolia, Big Paymaster, Bella, Ferdinand, Big Jumbo, Kelly Placer",1/1/1924,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/002_03_04_Beaverhead_Survey_Montana_Mining_District_G_Metlen_1924.jpg,/objects/small/002_03_04_beaverhead_survey_montana_mining_district_g_metlen_1924_sm.jpg,/objects/thumbs/002_03_04_beaverhead_survey_montana_mining_district_g_metlen_1924_th.jpg,Abandoned
762,bea089,,Iron Age,Blue Wing,,,Map,Map,Barker and Wilson Co,Survey Map,"Mining Claims in Bannack, Blue Wing, and Argenta Mining Districts","Surveys across three mining districts west of Dillon with Rattlesnake Creek, Taylor Creek, and Beaverhead River. The surevys on this map include Leap Year, Spring, Rena, Reform, Golden Era, Gov Tilden, Florida, Tuscarora, Wooley, Burleigh, St. Joseph, Fraction, Fraction Placer, Argenta, Gladstone, Midnight, Silverlight, Stapelton, Old Legal Tender, Spanish, Annie Placer, Grand View, Gold Smith, Wind Up, Iron Mountain, Little Iron Mountain, Captain Jim, Daylight, Copper Blossom, Iron Hat, Rittenhouse, Anaconda, Bronell, Louis Philip, Copper Bell, Cold Day, M and M, Jack Rabbit, Emerald, Three Times Winner, Norma, East end, Magnolia, Big Paymaster, Bella, Ferdinand, Big Jumbo, Kelly Placer, Comstock, Cable, Capital, Alice, Faithful, Artic, Silver Buckle, Silver Belt, Quebec, Bare Hill, Isabella, Francis H, Maltby S, Delmonte, Bonaparte, Shield, Iron Age, Protection, Guardian, Director, Signal, Queen Sabbe, Cliff, Mother, Wheal Ruse, Bismark, Iron Mask, Edith, Nettie, E. M. Wilson, Randall, Bernice, Bob Ingarsoll, Upper Grasshopper, Hope Placer, Fink and Jno F. Mead, Curtis, Anniversary, Beaverhead, Blue Grass, Gold Bug, Hendricks, Suffield, Pioneer, Senator, Arcata, Wallace, Junction, Springfield, Free Silver, French, South Side Placer, Excelsior, Jinnies Bar Placer, Wadams, Last Chance, Horace, Swartz, Montana, Empire, Bannack, Surry, Ban Accord, Whiteâ€™s Bar Placer, P. J. Kelly Placer, Cope Placer, Edgerton Placer, Barrettes Rock Quarry Placer, Quarry Spur Placer, Dillon Stone Quarry Placer, Silver Bow Quarry Placer, Beaverhead Co. Stone Quarry, and Grayling Quarry Placer.",3/8/1921,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,No Copyright,https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,/objects/002_03_05_Beaverhead_Survey_Bannack_Blue_Wing_and_Argenta_Districts_Claims_1921.jpg,/objects/small/002_03_05_beaverhead_survey_bannack_blue_wing_and_argenta_districts_claims_1921_sm.jpg,/objects/thumbs/002_03_05_beaverhead_survey_bannack_blue_wing_and_argenta_districts_claims_1921_th.jpg,Abandoned
